datetime_stamp,Machine_Id,Plant_Id,Vibration_Level,Motor_Temperature,Oil_Pressure,Power_Consumption,Throughput,Bearing_Wear_Index
2025-08-01 20:00:00,CR-113,PL-04,4.38,73.8,12.33,469.05,297.6,19.4
2025-08-22 14:00:00,CR-126,PL-03,2.85,67.15,13.09,463.03,288.78,12.08
2025-08-26 22:00:00,CR-136,PL-05,3.04,66.67,11.96,461.73,300.73,22.59
2025-08-07 10:00:00,CR-110,PL-02,4.92,67.14,13.5,493.13,324.57,10.82
2025-08-10 07:00:00,CR-143,PL-05,3.52,79.97,12.56,403.25,272.11,20.61
2025-08-22 17:00:00,CR-101,PL-04,3.81,64.77,12.03,440.13,302.67,20.55
2025-08-22 00:00:00,CR-126,PL-02,3.1,71.58,12.64,428.6,325.39,14.76
2025-08-18 15:00:00,CR-115,PL-01,3.67,65.57,13.16,419.27,311.94,16.46
2025-08-14 03:00:00,CR-108,PL-04,4.48,74.1,10.95,460.41,301.52,14.42
2025-08-29 02:00:00,CR-132,PL-05,3.2,69.18,13.66,395.13,320.9,18.52
2025-08-26 20:00:00,CR-109,PL-02,3.41,69.2,12.96,482.18,281.48,3.23
2025-08-10 16:00:00,CR-110,PL-01,5.21,71.79,12.44,454.67,291.88,15.57
2025-08-20 19:00:00,CR-112,PL-05,4.83,67.27,10.76,465.5,314.09,21.31
2025-08-22 00:00:00,CR-124,PL-04,5.12,71.99,11.5,469.63,285.81,21.15
2025-08-18 22:00:00,CR-132,PL-02,1.89,64.01,10.68,473.48,268.13,13.53
2025-08-24 06:00:00,CR-105,PL-01,4.18,59.17,11.55,447.93,318.84,15.38
2025-08-03 18:00:00,CR-113,PL-02,3.35,71.21,10.86,426.42,304.36,20.22
2025-08-21 12:00:00,CR-149,PL-04,3.73,73.84,12.43,445.01,285.75,21.86
2025-08-12 19:00:00,CR-147,PL-04,4.4,65.19,12.7,452.4,303.45,11.87
2025-08-06 21:00:00,CR-123,PL-05,4.54,71.88,11.12,425.69,295.59,14.01
2025-08-23 04:00:00,CR-105,PL-01,3.94,61.37,12.88,438.74,288.08,25.47
2025-08-10 17:00:00,CR-138,PL-02,4.93,66.62,11.33,456.48,321.9,22.05
2025-08-26 22:00:00,CR-105,PL-04,3.48,68.63,11.72,464.8,323.45,19.41
2025-08-03 09:00:00,CR-139,PL-04,3.36,73.5,12.67,429.66,296.94,22.51
2025-08-26 23:00:00,CR-142,PL-02,3.99,73.34,13.29,421.3,272.87,17.55
2025-08-11 13:00:00,CR-136,PL-02,4.27,65.58,13.11,505.11,292.4,10.89
2025-08-08 20:00:00,CR-108,PL-05,2.9,72.55,11.21,429.61,281.47,20.04
2025-08-13 13:00:00,CR-130,PL-05,19.62,112.48,4.88,748.19,138.0,74.21
2025-08-15 19:00:00,CR-126,PL-03,2.65,71.43,12.28,462.5,321.09,17.89
2025-08-11 16:00:00,CR-125,PL-01,4.31,76.59,9.36,464.88,264.26,14.43
2025-08-22 04:00:00,CR-136,PL-04,4.7,70.74,12.05,429.6,307.51,11.11
2025-08-09 11:00:00,CR-135,PL-02,2.31,73.98,14.21,453.73,334.11,15.87
2025-08-15 16:00:00,CR-111,PL-04,4.02,72.15,12.25,456.14,329.41,16.16
2025-08-28 18:00:00,CR-136,PL-03,2.65,70.98,12.76,438.16,309.06,24.29
2025-08-10 08:00:00,CR-150,PL-05,1.85,63.69,11.87,429.41,305.38,18.74
2025-08-21 05:00:00,CR-129,PL-04,4.52,72.63,11.9,416.57,269.34,16.1
2025-08-20 14:00:00,CR-107,PL-01,5.23,70.5,11.83,442.36,360.55,23.64
2025-08-10 01:00:00,CR-141,PL-02,5.05,74.87,13.35,508.46,298.02,8.88
2025-08-20 07:00:00,CR-142,PL-04,3.65,71.31,12.66,421.17,290.97,25.8
2025-08-28 18:00:00,CR-102,PL-04,4.44,63.44,11.35,341.54,299.84,19.45
2025-08-12 07:00:00,CR-117,PL-02,3.97,72.84,11.75,481.44,299.4,22.71
2025-08-20 09:00:00,CR-103,PL-05,4.58,81.0,10.38,494.74,308.21,6.74
2025-08-03 07:00:00,CR-126,PL-01,3.87,79.84,12.43,452.14,270.16,17.94
2025-08-06 11:00:00,CR-131,PL-05,4.27,64.68,11.96,455.72,303.88,15.2
2025-08-24 11:00:00,CR-112,PL-02,3.08,66.12,12.59,449.94,315.28,11.42
2025-08-06 07:00:00,CR-128,PL-04,6.8,76.02,12.86,456.55,261.48,17.25
2025-08-08 23:00:00,CR-104,PL-05,5.7,67.11,11.24,410.65,308.05,14.2
2025-08-10 00:00:00,CR-149,PL-01,4.98,62.07,12.0,431.54,326.42,17.11
2025-08-21 17:00:00,CR-128,PL-01,2.6,71.16,10.08,454.77,311.63,20.81
2025-08-04 07:00:00,CR-125,PL-05,3.67,68.21,12.89,438.92,324.55,13.64
2025-08-30 16:00:00,CR-143,PL-04,2.57,77.45,11.83,462.26,313.44,19.01
2025-08-13 22:00:00,CR-135,PL-03,3.48,59.99,11.85,465.67,307.19,26.25
2025-08-12 14:00:00,CR-148,PL-01,3.55,74.58,13.24,477.04,300.11,25.14
2025-08-21 09:00:00,CR-148,PL-04,3.28,63.93,13.12,448.3,278.28,21.71
2025-08-08 22:00:00,CR-140,PL-05,2.37,61.11,13.29,459.53,299.34,17.31
2025-08-29 02:00:00,CR-104,PL-04,2.3,64.38,12.65,436.72,294.72,13.87
2025-08-04 06:00:00,CR-147,PL-04,4.94,77.89,9.84,448.64,297.04,18.25
2025-08-27 12:00:00,CR-102,PL-05,3.14,70.26,9.56,466.26,342.97,15.18
2025-08-13 01:00:00,CR-138,PL-05,4.8,66.85,13.07,432.19,333.03,15.82
2025-08-12 10:00:00,CR-122,PL-04,4.09,77.73,14.73,489.11,290.73,15.48
2025-08-28 18:00:00,CR-121,PL-03,4.94,66.8,12.1,416.12,303.72,21.12
2025-08-02 14:00:00,CR-142,PL-03,3.94,64.47,12.0,466.77,329.33,19.74
2025-08-17 04:00:00,CR-138,PL-01,4.05,75.09,11.68,488.13,275.8,21.36
2025-08-09 10:00:00,CR-112,PL-03,5.1,65.46,11.63,442.36,309.01,21.51
2025-08-19 09:00:00,CR-104,PL-03,0.47,68.7,11.59,469.03,291.05,18.8
2025-08-17 03:00:00,CR-118,PL-05,6.01,62.39,13.1,493.64,291.36,18.71
2025-08-24 10:00:00,CR-117,PL-05,1.38,70.97,10.98,515.82,302.89,14.84
2025-08-03 16:00:00,CR-118,PL-04,4.02,68.63,13.07,434.82,282.7,24.75
2025-08-14 17:00:00,CR-146,PL-03,4.3,75.59,13.11,414.07,306.17,18.04
2025-08-30 10:00:00,CR-116,PL-02,4.91,75.67,13.82,448.62,316.62,10.86
2025-08-21 13:00:00,CR-143,PL-02,4.22,72.89,11.29,438.07,318.63,12.91
2025-08-11 03:00:00,CR-112,PL-02,3.62,73.56,10.93,460.5,315.32,20.41
2025-08-26 21:00:00,CR-102,PL-04,2.56,74.76,11.58,471.82,272.15,23.31
2025-08-14 00:00:00,CR-143,PL-03,4.68,75.82,11.13,415.07,269.54,13.71
2025-08-03 20:00:00,CR-141,PL-01,6.97,60.89,13.13,490.12,307.16,14.16
2025-08-29 13:00:00,CR-134,PL-02,2.92,62.8,11.18,395.84,309.48,19.25
2025-08-28 04:00:00,CR-138,PL-02,4.41,68.16,12.97,471.84,297.77,16.61
2025-08-26 21:00:00,CR-130,PL-05,3.67,68.89,8.85,471.56,322.98,14.7
2025-08-31 00:00:00,CR-127,PL-03,2.96,63.8,11.84,523.48,330.21,17.26
2025-08-30 06:00:00,CR-146,PL-04,4.82,66.3,11.44,444.69,302.69,13.09
2025-08-13 15:00:00,CR-141,PL-03,3.64,68.69,11.02,446.96,303.83,18.43
2025-08-21 00:00:00,CR-119,PL-04,4.37,69.38,10.92,485.11,295.8,11.48
2025-08-17 01:00:00,CR-138,PL-04,3.06,72.64,12.18,418.06,306.84,16.94
2025-08-24 01:00:00,CR-126,PL-04,5.3,69.65,12.48,460.89,313.82,15.14
2025-08-19 21:00:00,CR-113,PL-03,3.7,68.5,11.5,440.79,305.47,18.9
2025-08-10 21:00:00,CR-132,PL-05,3.04,75.47,11.91,451.15,316.27,15.41
2025-08-06 16:00:00,CR-106,PL-03,18.35,110.57,2.47,718.24,144.6,65.99
2025-08-20 18:00:00,CR-137,PL-01,4.4,72.14,10.84,518.4,327.26,20.72
2025-08-24 00:00:00,CR-101,PL-05,2.26,64.44,13.22,435.49,289.39,12.27
2025-08-03 05:00:00,CR-116,PL-02,3.21,79.48,12.2,436.45,275.89,21.6
2025-08-09 02:00:00,CR-150,PL-01,3.42,73.09,13.06,491.6,316.35,22.51
2025-08-03 23:00:00,CR-127,PL-03,4.56,72.95,11.12,433.13,315.05,17.08
2025-08-09 21:00:00,CR-107,PL-05,3.37,71.18,12.23,402.35,294.17,17.07
2025-08-13 06:00:00,CR-120,PL-04,4.63,72.49,14.45,414.08,311.23,22.22
2025-08-18 11:00:00,CR-109,PL-03,4.45,57.78,12.65,463.34,300.83,13.54
2025-08-15 01:00:00,CR-137,PL-01,5.04,70.99,10.69,436.59,296.39,20.6
2025-08-11 21:00:00,CR-137,PL-02,3.48,80.92,11.59,452.34,332.86,20.72
2025-08-10 19:00:00,CR-116,PL-04,3.01,70.56,11.74,418.92,314.41,14.14
2025-08-17 09:00:00,CR-108,PL-02,4.16,71.73,10.54,483.88,252.38,15.2
2025-08-28 05:00:00,CR-118,PL-04,3.56,64.82,9.83,433.84,305.88,24.49
2025-08-04 10:00:00,CR-104,PL-01,3.74,66.54,12.12,424.12,315.3,19.03
2025-08-29 09:00:00,CR-111,PL-03,5.0,72.11,13.48,413.06,328.67,16.45
2025-08-11 11:00:00,CR-114,PL-05,6.01,67.1,12.1,421.09,308.34,4.52
2025-08-16 19:00:00,CR-144,PL-02,4.06,68.58,10.63,406.51,274.19,20.7
2025-08-16 08:00:00,CR-131,PL-04,3.81,66.55,11.91,504.14,311.17,14.7
2025-08-23 07:00:00,CR-110,PL-02,0.9,72.12,12.35,482.2,319.44,19.05
2025-08-24 23:00:00,CR-119,PL-01,3.08,69.93,13.83,424.98,288.72,17.94
2025-08-24 17:00:00,CR-142,PL-03,4.63,66.12,12.55,461.61,286.09,22.88
2025-08-27 05:00:00,CR-113,PL-02,4.57,71.09,11.6,494.0,313.9,21.96
2025-08-28 15:00:00,CR-108,PL-05,3.63,68.09,13.04,442.16,288.22,24.33
2025-08-25 15:00:00,CR-105,PL-01,3.69,64.05,13.42,439.04,325.94,19.61
2025-08-12 18:00:00,CR-142,PL-01,2.19,70.68,10.88,460.83,306.08,16.79
2025-08-29 10:00:00,CR-138,PL-01,17.51,111.74,5.92,726.15,119.7,87.77
2025-08-12 06:00:00,CR-137,PL-02,3.82,53.44,11.72,485.0,301.2,12.45
2025-08-10 14:00:00,CR-137,PL-02,3.9,63.2,12.61,466.16,287.43,17.07
2025-08-15 18:00:00,CR-147,PL-05,4.51,70.4,11.53,439.25,297.44,25.39
2025-08-23 06:00:00,CR-143,PL-04,4.2,72.07,12.93,450.34,298.14,16.98
2025-08-12 02:00:00,CR-112,PL-04,5.46,66.61,11.84,428.49,300.13,20.04
2025-08-09 05:00:00,CR-134,PL-03,3.49,66.25,12.07,450.87,298.62,21.2
2025-08-08 05:00:00,CR-138,PL-01,4.99,66.62,12.41,490.75,303.68,16.73
2025-08-03 03:00:00,CR-133,PL-02,4.39,65.55,13.57,480.68,287.03,9.69
2025-08-02 15:00:00,CR-128,PL-02,4.41,65.04,12.37,464.73,299.15,14.91
2025-08-02 09:00:00,CR-113,PL-04,4.18,68.5,13.07,430.48,321.52,15.16
2025-08-20 06:00:00,CR-110,PL-04,3.5,72.7,10.7,473.91,346.64,8.59
2025-08-25 13:00:00,CR-123,PL-04,4.94,69.42,12.26,433.46,296.85,25.41
2025-08-28 17:00:00,CR-125,PL-04,3.09,84.35,11.22,410.86,312.32,23.36
2025-08-23 07:00:00,CR-104,PL-01,2.05,71.62,11.85,491.39,289.3,24.62
2025-08-26 03:00:00,CR-148,PL-04,4.02,71.89,11.24,451.75,295.47,20.67
2025-08-09 07:00:00,CR-127,PL-05,4.21,71.6,11.68,466.87,301.79,17.28
2025-08-03 08:00:00,CR-118,PL-01,2.92,53.83,11.78,426.86,339.9,22.39
2025-08-18 15:00:00,CR-128,PL-02,3.56,74.6,11.56,489.44,287.02,17.11
2025-08-11 13:00:00,CR-138,PL-02,3.98,54.12,11.51,493.8,307.22,0.47
2025-08-13 07:00:00,CR-138,PL-01,3.25,67.37,11.49,449.15,278.51,12.64
2025-08-09 09:00:00,CR-132,PL-03,19.51,104.57,5.29,668.38,111.92,75.65
2025-08-09 08:00:00,CR-114,PL-04,3.02,65.03,12.43,515.05,333.62,16.31
2025-08-04 23:00:00,CR-131,PL-02,4.08,67.41,10.82,405.17,299.69,17.0
2025-08-30 20:00:00,CR-103,PL-05,3.69,63.37,12.24,430.82,284.09,14.67
2025-08-04 12:00:00,CR-137,PL-04,3.71,73.55,11.18,521.8,289.63,18.03
2025-08-14 21:00:00,CR-136,PL-04,4.42,64.2,9.23,474.17,307.75,14.62
2025-08-01 05:00:00,CR-142,PL-05,4.05,63.16,13.12,443.52,325.23,11.6
